Date_Time,SS (uL/L),SSC (mg/L),SRP (mg/L),TP (mg/L),PP (mg/L),POC (mg/L),DOC (mg/L),LAB ID
8/8/2022 13:15,0,2.927,0.002,0.023,0,1.52,2.804,
8/8/2022 13:43,0,8.479606546,,,,1.524491386,3.359,102
8/8/2022 13:58,0,10.74380165,0.0114741,0.0290394,0.1,1.708332563,3.424,103
8/8/2022 14:13,52.87,19.83798975,,,,3.058769377,3.9,104
8/8/2022 14:28,204.03,49.09180167,0.0269172,0.0638192,0.11,5.365091663,5.279,105
8/8/2022 14:43,105.77,35.38512179,,,,5.121772039,7.207,106
8/8/2022 15:23,68.83,23.68120203,0.0509398,0.0739377,0.17,2.26662491,7.75,107
8/8/2022 16:13,36.65,9.888751545,0.0389285,0.040752,0.29,1.972202311,8.41,108
8/8/2022 16:43,25.92,7.95,,,,1.539230006,,110
8/8/2022 16:58,21.67,4.080633314,,,,1.518672161,8.421,111
8/8/2022 17:28,19.05,1.645548791,,,,1.611455123,8.183,112
8/8/2022 17:58,18.36,0.844737287,,,,1.74051494,,113
8/8/2022 18:13,0,5.719421521,0.030349,0.0348957,0.06,1.492688794,8.085,114
